"June 1st 2022",,,,,"June 2nd 2022",,,,,"June 3rd 2022",,,,,"June 4th 2022",,,
Time,Temp,Dew Point,Humidity,,Time,Temp,Dew Point,Humidity,,Time,Temp,Dew Point,Humidity,,Time,Temp,Dew Point,Humidity
11:51,63,56,78,,11:51,61,60,97,,11:51,67,65,93,,11:51,66,49,54
12:51,61,55,81,,12:51,61,60,97,,12:51,66,65,96,,12:51,63,49,60
1:51,60,55,83,,1:51,62,60,93,,1:51,66,64,93,,1:51,60,49,67
2:51,59,55,87,,2:51,62,60,93,,2:51,64,63,96,,2:51,59,50,72
3:51,58,54,87,,3:51,62,61,96,,3:51,64,62,93,,3:51,59,50,72
4:51,58,54,87,,4:51,63,61,93,,4:51,63,62,97,,4:51,57,51,81
5:51,59,54,83,,5:51,65,63,93,,5:51,64,62,93,,5:51,63,54,72
6:51,60,55,83,,6:51,67,66,97,,6:51,64,62,93,,6:51,66,53,63
7:51,61,55,81,,7:51,71,67,87,,7:51,65,63,93,,7:51,69,53,57
8:51,61,54,78,,8:51,73,66,79,,8:51,68,64,87,,8:51,72,49,44
9:51,64,56,75,,9:51,74,65,73,,9:51,71,63,75,,9:51,74,49,41
10:51,67,57,70,,10:51,75,65,71,,10:51,71,63,75,,10:51,78,49,36
11:51,69,58,68,,11:51,78,66,66,,11:51,73,63,71,,11:51,79,51,38
12:51,71,59,66,,12:51,79,66,64,,12:51,75,63,66,,12:51,80,46,30
1:51,70,58,65,,1:51,76,67,74,,1:51,76,63,64,,1:51,80,45,29
2:51,69,57,65,,2:51,75,68,79,,2:51,77,63,62,,2:51,81,47,30
3:51,66,56,70,,3:51,69,67,93,,3:51,77,63,62,,3:51,82,37,20
4:51,64,59,84,,4:51,71,69,93,,4:51,74,63,68,,4:51,81,40,23
5:51,63,59,87,,5:51,72,69,91,,5:51,74,60,62,,5:51,80,39,23
6:51,62,58,86,,6:51,69,66,90,,6:51,75,47,37,,6:51,76,40,27
7:51,61,59,93,,7:51,68,65,90,,7:51,73,47,39,,7:51,72,39,30
8:51,61,59,93,,8:51,67,65,93,,8:51,71,48,44,,8:51,70,41,35
9:51,61,60,97,,9:51,68,65,90,,9:51,68,50,52,,9:51,69,39,33
10:51,61,59,93,,10:51,67,65,93,,10:51,67,49,52,,10:51,67,34,30
